company;company_group;company_group2
APOLLO EGG SCIENCE TECHNOLOGY CORPORATION;Food Group;Food Group
CONSOLIDATED MATRIX, INC.;CMI;CMI
E-MOBILE MATRIX LOGISTICS CORPORATION;MWFL-SEE Group;MWFL Group
EQI DELIVERY SERVE, INC.;Delivery Group;Delivery Group
EXCEL QUALITY INTEGRATED SOLUTIONS, INC.;MWFL-MET Group;MWFL Group
EXCEL QUALITY SERVICES CORP.;MWFL-SEE Group;MWFL Group
FAST DELI SERV, INC.;Delivery Group;Delivery Group
JOSE R SIMEON AGRI FARMS CORPORATION;Food Group;Food Group
MATRIX CORPORATE SECURITY SERVICES INC.;Security Group - MC;Security Group
MATRIX CORPORATE SECURITY SERVICES INC. (PETRON);Security Group - MC;Security Group
MATRIX LABOR SERVICE COOOPERATIVE;CMI SOLUTIONS;CMI SOLUTIONS
MATRIX TRAINING CENTER;Security Group - MC;Security Group
MEGA-MATRIX SECURITY INC.;Security Group - MM;Security Group
MEGATEKTON MANUFACTURING CORP.;MWFL-MET Group;MWFL Group
MEGATEKTON MANUFACTURING CORP. (SEE);MWFL-SEE Group;MWFL Group
RAPIDOO.PH INC.;Delivery Group;Delivery Group
STARMATRIX SECURITY AGENCY INC.;Security Group - SM;Security Group
STOCKCARE CARGO AND WAREHOUSING, INC.;MWFL-SEE Group;MWFL Group
TEKTONIX MANUFACTURING CORPORATION (MET);MWFL-MET Group;MWFL Group
TEKTONIX MANUFACTURING CORPORATION (SEE);MWFL-SEE Group;MWFL Group
